,Data Sample,Testing Size,ABOD,CBLOF,FB,HBOS,IForest,KNN,LOF,MCD,OCSVM,PCA
0,1000.0,0.2,0.7201,0.6754,0.6709,0.6422,0.6576,0.676,0.6592,0.6228,0.6651,0.6603
1,1000.0,0.3,0.7367,0.7087,0.6233,0.6871,0.6617,0.7074,0.5965,0.6427,0.6586,0.6645
2,1000.0,0.4,0.7126,0.717,0.5961,0.6556,0.7115,0.7139,0.5267,0.6523,0.6537,0.6652
3,5000.0,0.2,0.5611,0.636,0.46,0.7221,0.6978,0.667,0.4748,0.5987,0.6643,0.6714
4,5000.0,0.3,0.5812,0.6422,0.4847,0.7216,0.711,0.6705,0.5007,0.6155,0.6604,0.6714
5,5000.0,0.4,0.5953,0.6294,0.4977,0.7294,0.7281,0.6803,0.5048,0.6082,0.6621,0.6705
6,10000.0,0.2,0.6098,0.5716,0.5167,0.6132,0.7095,0.6795,0.5136,0.6345,0.6668,0.6831
7,10000.0,0.3,0.5902,0.6098,0.536,0.6944,0.7214,0.6918,0.5486,0.6232,0.66,0.6719
8,10000.0,0.4,0.6053,0.6008,0.5336,0.6934,0.7243,0.6936,0.5413,0.6173,0.6661,0.6761
9,15000.0,0.2,0.6223,0.6806,0.5404,0.591,0.6888,0.7025,0.5326,0.6331,0.6767,0.6813
10,15000.0,0.3,0.6216,0.6676,0.5471,0.6016,0.6783,0.6826,0.5406,0.6176,0.6547,0.6613
11,15000.0,0.4,0.6211,0.6342,0.5319,0.6017,0.6775,0.6704,0.5197,0.6209,0.6561,0.6626
12,16318.0,0.2,0.5889,0.6684,0.5164,0.5982,0.6734,0.6943,0.5136,0.6189,0.6677,0.6764
13,16318.0,0.3,0.5996,0.576,0.4877,0.6089,0.709,0.6687,0.472,0.6191,0.6682,0.6793
14,16318.0,0.4,0.6738,0.5806,0.5056,0.6257,0.7104,0.6537,0.4852,0.6412,0.6805,0.6907
